id,name_en,name_kr,hp,attack,defense,sp_attack,sp_defense,speed,evolutionLevel,evolutionTargetId,type_1,type_2,male_ratio_pct,egg_group_1,egg_group_2,hatch_counter,ability_1,ability_2,hidden_ability,exp_group,catch_rate,base_exp_yield,ev_yield_stat_1,ev_yield_amount_1,ev_yield_stat_2,ev_yield_amount_2,ev_yield_stat_3,ev_yield_amount_3,base_friendship,category_en,category_kr,height_m,weight_kg,pokedex_entry_en,pokedex_entry_kr
17,Pidgeotto,피죤,63,60,55,50,50,71,36,18,NORMAL,FLYING,50,FLYING,NONE,15,Keen Eye,Tangled Feet,Big Pecks,MEDIUM_SLOW,120,122,SPEED,2,NONE,0,NONE,0,50,Bird Pokemon,새포켓몬,1.1,30,The claws on its feet are well developed. It can carry prey such as an EXEGGCUTE to its nest over 60 miles away.,발톱이 발달해 있다. 먹이인 아라리를 잡아 100km 떨어져 있는 둥지까지 나른다.
18,Pidgeot,피죤투,83,80,75,70,70,101,0,0,NORMAL,FLYING,50,FLYING,NONE,15,Keen Eye,Tangled Feet,Big Pecks,MEDIUM_SLOW,45,216,SPEED,3,NONE,0,NONE,0,50,Bird Pokemon,새포켓몬,1.5,39.5,It spreads its gorgeous wings widely to intimidate enemies. It races through the skies at Mach-2 speed.,아름다운 날개를 펼쳐 상대를 위협한다. 마하 2로 하늘을 날아다닌다.
19,Rattata,꼬렛,30,56,35,25,35,72,20,20,NORMAL,NONE,50,FIELD,NONE,15,Run Away,Guts,Hustle,MEDIUM_FAST,255,51,SPEED,1,NONE,0,NONE,0,50,Mouse Pokemon,쥐포켓몬,0.3,3.5,"Its fangs are long and very sharp. They grow continuously, so it gnaws on hard things to whittle them down.",송곳니는 길고 날카롭다. 평생 계속 뻗어나가서 단단한 것을 깎는다.
20,Raticate,레트라,55,81,60,50,70,97,0,0,NORMAL,NONE,50,FIELD,NONE,15,Run Away,Guts,Hustle,MEDIUM_FAST,127,145,SPEED,2,NONE,0,NONE,0,50,Mouse Pokemon,쥐포켓몬,0.7,18.5,"Its rear feet have three toes each. They are webbed, enabling it to swim across rivers.",뒷발가락은 3개로 작은 물갈퀴가 달려 있다. 강을 헤엄쳐 건넌다.
21,Spearow,깨비참,40,60,30,31,31,70,20,22,NORMAL,FLYING,50,FLYING,NONE,15,Keen Eye,NONE,Sniper,MEDIUM_FAST,255,52,SPEED,1,NONE,0,NONE,0,50,Tiny Bird Pokemon,아기새포켓몬,0.3,2,"It busily flits around here and there. Even if it is frail, it can be a tough foe that uses MIRROR MOVE.",바쁘게 여기저기를 날아다닌다. 체력은 적지만 따라하기를 쓰면 만만치 않다.
22,Fearow,깨비드릴조,65,90,65,61,61,100,0,0,NORMAL,FLYING,50,FLYING,NONE,15,Keen Eye,NONE,Sniper,MEDIUM_FAST,90,155,SPEED,2,NONE,0,NONE,0,50,Beak Pokemon,부리포켓몬,1.2,38,Its huge and magnificent wings can keep it aloft in the sky. It can remain flying a whole day without landing.,커다란 날개로 넓은 하늘을 계속 날 수 있다. 한 번도 내려앉지 않아도 괜찮다.
23,Ekans,아보,35,60,44,40,54,55,22,24,POISON,NONE,50,FIELD,DRAGON,20,Intimidate,Shed Skin,Unnerve,MEDIUM_FAST,255,58,ATTACK,1,NONE,0,NONE,0,50,Snake Pokemon,뱀포켓몬,2,6.9,"A very common sight in grassland, etc. It flicks its tongue in and out to sense danger in its surroundings.",풀밭 등에 많이 서식한다. 혀를 낼름낼름거리며 주위의 위험을 감지한다.
24,Arbok,아보크,60,95,69,65,79,80,0,0,POISON,NONE,50,FIELD,DRAGON,20,Intimidate,Shed Skin,Unnerve,MEDIUM_FAST,90,157,ATTACK,2,NONE,0,NONE,0,50,Cobra Pokemon,코브라포켓몬,3.5,65,The pattern on its belly appears to be a frightening face. Weak foes will flee just at the sight of the pattern.,배의 무늬가 무서운 얼굴로 보인다. 약한 적은 그 무늬만 보고도 도망치고 만다.
25,Pikachu,피카츄,35,55,40,50,50,90,0,26,ELECTRIC,NONE,50,FIELD,FAIRY,10,Static,NONE,Lightning Rod,MEDIUM_FAST,190,112,SPEED,2,NONE,0,NONE,0,50,Mouse Pokemon,쥐포켓몬,0.4,6,"It has small electric sacs on both its cheeks. If threatened, it looses electric charges from the sacs.",뺨의 양쪽에 작은 전기 주머니가 있다. 위기 상황일 때 방전한다.
26,Raichu,라이츄,60,90,55,90,80,110,0,0,ELECTRIC,NONE,50,FIELD,FAIRY,10,Static,NONE,Lightning Rod,MEDIUM_FAST,75,243,SPEED,3,NONE,0,NONE,0,50,Mouse Pokemon,쥐포켓몬,0.8,30,"Its electric charges can reach even 100,000 volts. Careless contact can cause even an Indian elephant to faint.",전격은 10만 볼트에 이르기도 해서 잘못 만지면 인도코끼리라도 기절한다.
27,Sandshrew,모래두지,50,75,85,20,30,40,22,28,GROUND,NONE,50,FIELD,NONE,20,Sand Veil,NONE,Sand Rush,MEDIUM_FAST,255,60,DEFENSE,1,NONE,0,NONE,0,50,Mouse Pokemon,쥐포켓몬,0.6,12,"It burrows and lives underground. If threatened, it curls itself up into a ball for protection.",지면에 구멍을 파고 산다. 자신에게 위험이 닥쳐오면 둥글게 말아서 몸을 보호한다.
28,Sandslash,고지,75,100,110,45,55,65,0,0,GROUND,NONE,50,FIELD,NONE,20,Sand Veil,NONE,Sand Rush,MEDIUM_FAST,90,158,DEFENSE,2,NONE,0,NONE,0,50,Mouse Pokemon,쥐포켓몬,1,29.5,It is adept at attacking with the spines on its back and its sharp claws while quickly scurrying about.,엄청 빠르게 달리고 돌며 등의 가시와 날카로운 손톱을 쓴 공격이 특기.
29,Nidoran♀,니드런♀,55,47,52,40,40,441,16,30,POISON,NONE,0,MONSTER,FIELD,20,Poison Point,Rivalry,Hustle,MEDIUM_SLOW,235,55,HP,1,NONE,0,NONE,0,50,Poison Pin Pokemon,독침포켓몬,0.4,7,"Though small, it must be treated with caution because of its powerfully toxic barbs. The female has smaller horns.",작아도 독바늘의 위력은 강렬하므로 주의가 필요. 암컷은 뿔이 작다.
30,Nidorina,니드리나,70,62,67,55,55,56,0,31,POISON,NONE,0,NONE,NONE,20,Poison Point,Rivalry,Hustle,MEDIUM_SLOW,120,128,HP,2,NONE,0,NONE,0,50,Poison Pin Pokemon,독침포켓몬,0.8,20,The female has a gentle temperament. It emits ultrasonic cries that have the power to befuddle foes.,암컷으로 성격은 온화하다. 입에서 내는 초음파는 상대를 혼란시키는 힘이 있다.
31,Nidoqueen,니드퀸,90,92,87,75,85,76,0,0,POISON,GROUND,0,NONE,NONE,20,Poison Point,Rivalry,Sheer Force,MEDIUM_SLOW,45,227,HP,3,NONE,0,NONE,0,50,Drill Pokemon,드릴포켓몬,1.3,60,"The body is covered by stiff, needle-like scales. If it becomes excited, the needles bristle outwards.",단단하고 바늘과 같은 비늘이 몸을 뒤덮고 있다. 흥분하면 바늘이 곤두선다.
32,Nidoran♂,니드런♂,46,57,40,40,40,50,16,33,POISON,NONE,100,MONSTER,FIELD,20,Poison Point,Rivalry,Hustle,MEDIUM_SLOW,235,55,ATTACK,1,NONE,0,NONE,0,50,Poison Pin Pokemon,독침포켓몬,0.5,9,Its large ears are flapped like wings when it is listening to distant sounds. It extends toxic barbs when angered.,귀가 커서 먼 곳의 소리를 들을 때 날개 치듯 움직인다. 화나면 독침을 쏜다.
33,Nidorino,니드리노,61,72,57,55,55,65,0,34,POISON,NONE,100,MONSTER,FIELD,20,Poison Point,Rivalry,Hustle,MEDIUM_SLOW,120,128,ATTACK,2,NONE,0,NONE,0,50,Poison Pin Pokemon,독침포켓몬,0.9,19.5,"It is easily angered. By swinging its well-developed horn wildly, it can even punch through diamond.",쉽게 화내는 성격. 발달한 뿔을 써서 다이아몬드도 꿰뚫어버린다.
34,Nidoking,니드킹,81,102,77,85,75,85,0,0,POISON,GROUND,100,MONSTER,FIELD,20,Poison Point,Rivalry,Sheer Force,MEDIUM_SLOW,45,227,ATTACK,3,NONE,0,NONE,0,50,Drill Pokemon,드릴포켓몬,1.4,62,It is recognized by its rock-hard hide and its extended horn. Be careful with the horn as it contains venom.,돌처럼 딱딱한 피부와 길게 뻗은 뿔이 특징이다. 뿔에는 독이 있으니 주의해야 한다.
35,Clefairy,삐삐,70,45,48,60,65,35,0,36,FAIRY,NONE,25,FAIRY,NONE,10,Cute Charm,Magic Guard,Friend Guard,FAST,150,113,HP,2,NONE,0,NONE,0,140,Fairy Pokemon,요정포켓몬,0.6,7.5,"Its adorable appearance makes it popular as a pet. However, it is rare and difficult to find.",깜찍한 모습에 의해 펫으로 인기가 있다. 단 좀처럼 발견되지 않는다.
36,Clefable,픽시,95,70,73,95,90,60,0,0,FAIRY,NONE,25,FAIRY,NONE,10,Cute Charm,Magic Guard,Unaware,FAST,25,217,HP,3,NONE,0,NONE,0,140,Fairy Pokemon,요정포켓몬,1.3,40,"It has an acute sense of hearing. It can easily hear a pin being dropped nearly 1,100 yards away.",귀가 좋아서 1km 떨어진 곳에서 떨어진 바늘 소리를 훌륭하게 구별한다고 한다.
37,Vulpix,식스테일,38,41,40,50,65,65,0,38,FIRE,NONE,25,FIELD,NONE,20,Flash Fire,NONE,Drought,MEDIUM_FAST,190,60,SPEED,1,NONE,0,NONE,0,50,Fox Pokemon,여우포켓몬,0.6,9.9,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted.",어리지만 6개의 꼬리가 아름답다. 성장하면 한층 꼬리 수가 늘어난다.
38,Ninetales,나인테일,73,76,75,81,100,100,0,0,FIRE,NONE,25,FIELD,NONE,20,Flash Fire,NONE,Drought,MEDIUM_FAST,75,177,SPECIAL_DEFENSE,1,SPEED,1,NONE,0,50,Fox Pokemon,여우포켓몬,1.1,19.9,"It has nine long tails and fur that gleams gold. It is said to live for 1,000 years.",금빛으로 빛나는 털과 9개의 긴 꼬리를 지녔다. 1000년을 산다고 한다.
39,Jigglypuff,푸린,115,45,20,45,25,20,0,40,NORMAL,FAIRY,25,FAIRY,NONE,10,Cute Charm,Competitive,Friend Guard,FAST,170,95,HP,2,NONE,0,NONE,0,50,Balloon Pokemon,풍선포켓몬,0.5,5.5,"It captivates foes with its huge, round eyes, then lulls them to sleep by singing a soothing melody.",동그랗고 커다란 눈동자로 유인하고 기분 좋은 노래를 불러 상대를 잠들게 한다.
40,Wigglytuff,푸크린,140,70,45,85,50,45,0,0,NORMAL,FAIRY,25,FAIRY,NONE,10,Cute Charm,Competitive,Frisk,FAST,50,218,HP,3,NONE,0,NONE,0,50,Balloon Pokemon,풍선포켓몬,1,12,"Its fur is extremely fine, dense, and supple. The exquisitely pleasant fur conveys an image of luxury.",세밀하고 보들보들한 털은 황홀해질 정도. 털가죽은 고급품이다.
41,Zubat,주뱃,40,45,35,30,40,55,22,42,POISON,FLYING,50,FLYING,NONE,15,Inner Focus,NONE,Infiltrator,MEDIUM_FAST,255,49,SPEED,1,NONE,0,NONE,0,50,Bat Pokemon,박쥐포켓몬,0.8,7.5,"It has no eyes. Instead, it relies on its ultrasonic cries for echo location to flit about in darkness.",양쪽 눈이 존재하지 않는다. 입에서 초음파를 내어 어둠 속을 날아다닌다.
42,Golbat,골뱃,75,80,70,65,75,90,0,0,POISON,FLYING,50,FLYING,NONE,15,Inner Focus,NONE,Infiltrator,MEDIUM_FAST,90,159,SPEED,2,NONE,0,NONE,0,50,Bat Pokemon,박쥐포켓몬,1.6,55,It clamps down on its prey with needle-sharp fangs and drains over 10 ounces of blood in one gulp.,에리한 이빨로 물어뜯어 한번에 300cc의 피를 빨아들여 버린다.
43,Oddish,뚜벅쵸,45,50,55,75,65,30,21,44,GRASS,POISON,50,GRASS,NONE,20,Chlorophyll,NONE,Run Away,MEDIUM_SLOW,255,64,SPECIAL_ATTACK,1,NONE,0,NONE,0,50,Weed Pokemon,잡초포켓몬,0.5,5.4,"Its scientific name is “Oddium Wanderus.” At night, it is said to walk nearly 1,000 feet on its two roots.",별명 아르키멘데스. 밤이 되면 2개의 뿌리로 300m나 걷는다고 한다.
44,Gloom,냄새꼬,60,65,70,85,75,40,0,45,GRASS,POISON,50,GRASS,NONE,20,Chlorophyll,NONE,Stench,MEDIUM_SLOW,120,138,SPECIAL_ATTACK,2,NONE,0,NONE,0,50,Weed Pokemon,잡초포켓몬,0.8,8.6,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.,암꽃술이 내뿜는 터무니없이 고약한 냄새는 2km 앞까지 닿아 까무러치게 한다.
45,Vileplume,라플레시아,75,80,85,110,90,50,0,0,GRASS,POISON,50,GRASS,NONE,20,Chlorophyll,NONE,Effect Spore,MEDIUM_SLOW,45,221,SPECIAL_ATTACK,3,NONE,0,NONE,0,50,Flower Pokemon,꽃포켓몬,1.2,18.5,Its petals are the largest in the world. It fiendishly scatters allergy-causing pollen from its petals.,세계에서 제일 큰 꽃잎에서 알레르기를 일으키는 꽃가루를 악마처럼 뿌려댄다.
46,Paras,파라스,35,70,55,45,55,25,24,47,BUG,GRASS,50,BUG,GRASS,20,Effect Spore,Dry Skin,Damp,MEDIUM_FAST,190,57,ATTACK,1,NONE,0,NONE,0,50,Mushroom Pokemon,버섯포켓몬,0.3,5.4,Growing out of the bug’s back are mushrooms called tochukaso. The mushrooms grow with the bug host.,벌레의 등에 돋아나 있는 것은 동충하초라는 버섯이다. 성장하면 버섯도 커진다.
47,Parasect,파라섹트,60,95,80,60,80,30,0,0,BUG,GRASS,50,BUG,GRASS,20,Effect Spore,Dry Skin,Damp,MEDIUM_FAST,75,142,ATTACK,2,DEFENSE,1,NONE,0,50,Mushroom Pokemon,버섯포켓몬,1,29.5,"It scatters toxic spores from the mushroom cap. In China, the spores are used as herbal medicine.",버섯 삿갓에서 독 포자를 흩뿌린다. 하지만 중국에서는 이 포자를 한방약으로 쓴다.
48,Venonat,콘팡,60,55,50,40,55,45,31,49,BUG,POISON,50,BUG,NONE,20,Compound Eyes,Tinted Lens,Run Away,MEDIUM_FAST,190,61,SPECIAL_DEFENSE,1,NONE,0,NONE,0,50,Insect Pokemon,곤충포켓몬,1,30,"Its eyes act as radar, enabling it to be active in darkness. The eyes can also shoot powerful beams.",어두운 밤에도 눈이 레이더 역할을 해서 활동할 수 있다. 눈에서 빔을 발사한다.
49,Venomoth,도나리,70,65,60,90,75,90,0,0,BUG,POISON,50,BUG,NONE,20,Shield Dust,Tinted Lens,Wonder Skin,MEDIUM_FAST,75,158,SPECIAL_ATTACK,1,SPEED,1,NONE,0,50,Poison Moth Pokemon,독나방포켓몬,1.5,12.5,"The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust.",날개에 가루가 묻어 있어 팔락팔락 날갯짓을 할 때마다 맹독 가루를 흩뿌린다.
50,Diglett,디그다,10,55,25,35,45,95,26,51,GROUND,NONE,50,FIELD,NONE,20,Sand Veil,Arena Trap,Sand Force,MEDIUM_FAST,255,53,SPEED,1,NONE,0,NONE,0,50,Mole Pokemon,두더지포켓몬,0.2,0.8,"It burrows through the ground at a shallow depth. It leaves raised earth in its wake, making it easy to spot.",얕은 땅속을 이동한다. 굴을 파며 다닌 곳은 지면이 솟아 있기 때문에 바로 알 수 있다.
51,Dugtrio,닥트리오,35,100,50,50,70,120,0,0,GROUND,NONE,50,FIELD,NONE,20,Sand Veil,Arena Trap,Sand Force,MEDIUM_FAST,50,149,SPEED,2,NONE,0,NONE,0,50,Mole Pokemon,두더지포켓몬,0.7,33.3,"In battle, it digs through the ground and strikes the unsuspecting foe from an unexpected direction.",땅속을 파고들어 가 상대가 방심하고 있을 때 다른 곳에서 공격한다.
52,Meowth,나옹,40,45,35,40,40,90,28,53,NORMAL,NONE,50,FIELD,NONE,20,Pickup,Technician,Unnerve,MEDIUM_FAST,255,58,SPEED,1,NONE,0,NONE,0,50,Scratch Cat Pokemon,요괴고양이포켓몬,0.4,4.2,"All it does is sleep during the daytime. At night, it patrols its territory with its eyes aglow.",낮에는 거의 잠만 잔다. 밤이 되면 눈이 빛나며 자신의 영역을 걸어다닌다.
53,Persian,페르시온,65,70,60,65,65,115,0,0,NORMAL,NONE,50,FIELD,NONE,20,Limber,Technician,Unnerve,MEDIUM_FAST,90,154,SPEED,2,NONE,0,NONE,0,50,Classy Cat Pokemon,샴고양이포켓몬,1,32,Has a vicious temperament. Beware if it raises its tail straight up. It is a signal that it is about to pounce and bite.,성질이 거칠고 꼬리를 똑바로 세웠다면 주의해야 한다. 달려들어 물어뜯을 조짐이다.
54,Psyduck,고라파덕,50,52,48,65,50,55,33,55,WATER,NONE,50,WATER 1,FIELD,20,Damp,Cloud Nine,Swift Swim,MEDIUM_FAST,190,64,SPECIAL_ATTACK,1,NONE,0,NONE,0,50,Duck Pokemon,오리포켓몬,0.85,19.6,"It is constantly wracked by a headache. When the headache turns intense, it begins using mysterious powers.",항상 두통에 시달리고 있다. 이 두통이 심해지면 이상한 힘을 쓰기 시작한다.
55,Golduck,골덕,80,82,78,95,80,85,0,0,WATER,NONE,50,WATER 1,FIELD,20,Damp,Cloud Nine,Swift Swim,MEDIUM_FAST,75,175,SPECIAL_ATTACK,2,NONE,0,NONE,0,50,Duck Pokemon,오리포켓몬,1.7,76.6,"The forelegs are webbed, helping to make it an adept swimmer. It can be seen swimming elegantly in lakes, etc.",손바닥이 물갈퀴로 되어 있어 헤엄을 잘 친다. 호수 등에서 우아한 모습을 볼 수 있다.
56,Mankey,망키,40,80,35,35,45,70,28,57,FIGHTING,NONE,50,FIELD,NONE,20,Vital Spirit,Anger Point,Defiant,MEDIUM_FAST,190,61,ATTACK,1,NONE,0,NONE,0,50,Pig Monkey Pokemon,돈숭이포켓몬,0.5,28,"Light and agile on its feet, and ferocious in temperament. When angered, it flies into an uncontrollable frenzy.",몸놀림이 가볍고 난폭한 성격. 화가 나서 날뛰기 시작하면 손쓸 방도가 없게 된다.
57,Primeape,성원숭,65,105,60,60,70,95,0,0,FIGHTING,NONE,50,FIELD,NONE,20,Vital Spirit,Anger Point,Defiant,MEDIUM_FAST,75,159,ATTACK,2,NONE,0,NONE,0,50,Pig Monkey Pokemon,돈숭이포켓몬,1,32,"It is always outrageously furious. If it gives chase, it will tenaciously track the target no matter how far.","언제나 굉장히 화가 나 있으며, 아무리 도망쳐도 계속 쫓아온다."
58,Growlithe,가디,55,70,45,70,50,60,0,59,FIRE,NONE,75,FIELD,NONE,20,Intimidate,Flash Fire,Justified,SLOW,190,70,ATTACK,1,NONE,0,NONE,0,50,Puppy Pokemon,강아지포켓몬,0.7,19,Very friendly and faithful to people. It will try to repel enemies by barking and biting.,사람을 잘 따르는 충실한 성격이다. 적에게는 짖거나 물며 쫓아내려고 한다.
59,Arcanine,윈디,90,110,80,100,80,95,0,0,FIRE,NONE,75,FIELD,NONE,20,Intimidate,Flash Fire,Justified,SLOW,75,194,ATTACK,2,NONE,0,NONE,0,50,Legendary Pokemon,전설포켓몬,1.9,155,A POKEMON that is described in Chinese legends. It is said to race at an unbelievable speed.,중국에 전해지는 전설의 포켓몬. 굉장한 스피드로 달린다고 한다.
60,Poliwag,발챙이,40,50,40,40,40,90,25,61,WATER,NONE,50,WATER 1,NONE,20,Water Absorb,Damp,Swift Swim,MEDIUM_SLOW,255,60,SPEED,1,NONE,0,NONE,0,50,Tadpole Pokemon,올챙이포켓몬,0.6,12.4,Its slick black skin is thin and damp. A part of its internal organs can be seen through the skin as a spiral pattern.,매끄럽고 검은 피부는 얇고 축축하다. 내장 일부가 비쳐서 소용돌이 모양으로 보인다.
61,Poliwhirl,슈륙챙이,65,65,65,50,50,90,0,62,WATER,NONE,50,WATER 1,NONE,20,Water Absorb,Damp,Swift Swim,MEDIUM_SLOW,120,135,SPEED,2,NONE,0,NONE,0,50,Tadpole Pokemon,올챙이포켓몬,1,20,"Its two legs are well developed. Even though it can live on the ground, it prefers living in water.",두 다리가 발달하여 지상에서 살 수 있는데도 어째서인지 수중 생활을 좋아한다.
