id,name_en,name_kr,trigger,category,param_type,param_value,secondary_param_type,secondary_param_value,target,description_en,description_kr
31,Lightning Rod,피뢰침,ON_MOVE_TARGETING,REDIRECT_BOOST,ELECTRIC,,,,SELF,"The Pokemon draws in all Electric-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted.",전기타입의 기술을 자신에게 끌어모아 데미지를 받지 않고 특수공격을 올린다.
32,Serene Grace,하늘의은총,PASSIVE,EFFECT_CHANCE_MOD,SECONDARY,2,,,SELF,Raises the likelihood of additional effects occurring when the Pokemon uses its moves.,하늘의 은총 덕분에 기술의 추가 효과가 나오기 쉽다.
33,Swift Swim,쓱쓱,ON_WEATHER,STAT_MODIFIER,SPEED,2,,,SELF,Boosts the Pokemon's Speed stat in rain.,비가 오는 날씨일 때 스피드가 올라간다.
34,Chlorophyll,엽록소,ON_WEATHER,STAT_MODIFIER,SPEED,2,,,SELF,Boosts the Pokemon's Speed stat in harsh sunlight.,날씨가 맑을 때 스피드가 올라간다.
35,Illuminate,발광,PASSIVE,STAT_MODIFIER_IMMUNITY,ACCURACY_LOWER,,,,SELF,"By illuminating its surroundings, the Pokemon prevents its accuracy from being lowered.",주변을 밝게 하여 명중률이 떨어지지 않는다.
36,Trace,트레이스,ON_SWITCH_IN,SPECIAL_LOGIC,,,,,SELF,"When it enters a battle, the Pokemon copies an opposing Pokemon's Ability.",등장했을 때 상대의 특성을 트레이스해서 같은 특성이 된다.
37,Huge Power,천하장사,PASSIVE,STAT_MODIFIER,ATTACK,2,,,SELF,Doubles the Pokemon's Attack stat.,물리공격의 위력이 2배가 된다.
38,Poison Point,독가시,ON_CONTACT,PRIMARY_STATUS,POISON,0.3,,,ATTACKER,Contact with the Pokemon may poison the attacker.,자신에게 접촉한 상대를 독 상태로 만들 때가 있다.
39,Inner Focus,정신력,PASSIVE,EFFECT_IMMUNITY,STATUS_LIST,"FLINCH,INTIMIDATE",,,SELF,The Pokemon's intense focus prevents it from flinching or being affected by Intimidate.,단련한 정신 덕분에 상대의 공격에 풀죽지 않는다. 위협을 당해도 동요하지 않는다.
40,Magma Armor,마그마의무장,PASSIVE,STATUS_IMMUNITY,FREEZE,,,,SELF,The Pokemon's hot magma coating prevents it from being frozen.,뜨거운 마그마를 몸에 둘러서 얼음 상태가 되지 않는다.
41,Water Veil,수의베일,PASSIVE,STATUS_IMMUNITY,BURN,,,,SELF,The Pokemon's water veil prevents it from being burned.,물의 베일을 몸에 둘러서 화상 상태가 되지 않는다.
42,Magnet Pull,자력,ON_SWITCH_IN,TRAP,STEEL,,,,FOE,Prevents Steel-type Pokemon from fleeing by pulling them in with magnetism.,강철타입의 포켓몬을 자력으로 끌어모아 도망칠 수 없게 한다.
43,Soundproof,방음,PASSIVE,MOVE_IMMUNITY,SOUND,,,,SELF,Soundproofing gives the Pokemon full immunity to all sound-based moves.,소리를 차단하여 소리 기술의 영향을 받지 않는다.
44,Rain Dish,젖은접시,ON_WEATHER,HEAL,RAIN,0.0625,,,SELF,The Pokemon gradually regains HP in rain.,비가 오는 날씨일 때 조금씩 HP를 회복한다.
45,Sand Stream,모래날림,ON_SWITCH_IN,WEATHER_CHANGE,SANDSTORM,5,,,FIELD,The Pokemon summons a sandstorm when it enters a battle.,등장했을 때 날씨를 모래바람으로 만든다.
46,Pressure,프레셔,ON_MOVE_TARGET,PP_USAGE_MODIFIER,ANY,2,,,ATTACKER,"Puts other Pokemon under pressure, causing them to expend more PP to use their moves.",프레셔를 줘서 상대가 쓰는 기술의 PP를 많이 줄인다.
47,Thick Fat,두꺼운지방,PASSIVE,DAMAGE_MODIFIER_TYPE,TYPE_LIST,"FIRE,ICE",MULTIPLIER,0.5,SELF,"The Pokemon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",두꺼운 지방으로 보호되고 있어 불꽃타입과 얼음타입의 기술의 데미지를 반감시킨다.
48,Early Bird,일찍 기상,PASSIVE,STATUS_DURATION_MOD,SLEEP,0.5,,,SELF,The Pokemon awakens from sleep twice as fast as other Pokeon.,잠듦 상태가 되어도 2배 빠르게 깨어날 수 있다.
49,Flame Body,불꽃몸,ON_CONTACT,PRIMARY_STATUS,BURN,0.3,,,ATTACKER,Contact with the Pokemon may burn the attacker.,자신에게 접촉한 상대를 화상 상태로 만들 때가 있다.
50,Run Away,도주,PASSIVE,BATTLE_ACTION,ESCAPE,,,,SELF,Enables a sure getaway from wild Pokemon.,야생 포켓몬으로부터 반드시 도망칠 수 있다.
51,Keen Eye,날카로운눈,PASSIVE,STAT_MODIFIER_IMMUNITY,ACCURACY_LOWER,,,,SELF,The Pokemon's keen eyes prevent its accuracy from being lowered. It also ignores the target's stages in evasion.,날카로운 눈 덕분에 명중률이 떨어지지 않는다.
52,Hyper Cutter,괴력집게,PASSIVE,STAT_MODIFIER_IMMUNITY,ATTACK_LOWER,,,,SELF,"The Pokemon's prized, mighty pincers prevent other Pokemon from lowering its Attack stat.",힘이 자랑인 집게를 가지고 있어 상대가 공격을 떨어뜨리지 못하게 한다.
53,Pickup,픽업,SPECIAL_LOGIC,SPECIAL_LOGIC,,,,,NONE,"The Pokemon may pick up an item another Pokemon used during a battle. It may pick up items outside of battle, too.",상대가 사용한 도구를 주워 올 때가 있다. 모험 중에도 주워 온다.
54,Truant,게으름,ON_END_TURN,SPECIAL_LOGIC,,,,,SELF,"Each time the Pokemon uses a move, it spends the next turn loafing around.",기술을 사용하면 다음 턴은 쉰다.
55,Hustle,의욕,PASSIVE,STAT_MODIFIER,ATTACK,1.5,ACCURACY,0.8,SELF,Boosts the Pokemon's Attack stat but lowers its accuracy.,자신의 공격이 높아지지만 명중률이 떨어진다.
56,Cute Charm,헤롱헤롱바디,ON_CONTACT,PRIMARY_STATUS,ATTRACT,0.3,,,ATTACKER,The Pokemon may infatuate attackers that make direct contact with it.,자신에게 접촉한 상대를 헤롱헤롱하게 만들 때가 있다.
57,Plus,플러스,PASSIVE,SPECIAL_LOGIC,,,,,SELF,Boosts the Sp. Atk stat of the Pokemon if an ally with the Plus or Minus Ability is also in battle.,플러스나 마이너스의 특성을 가진 포켓몬이 동료에 있으면 자신의 특수공격이 올라간다.
58,Minus,마이너스,PASSIVE,SPECIAL_LOGIC,,,,,SELF,Boosts the Sp. Atk stat of the Pokemon if an ally with the Plus or Minus Ability is also in battle.,플러스나 마이너스의 특성을 가진 포켓몬이 동료에 있으면 자신의 특수공격이 올라간다.
59,Forecast,기분파,ON_WEATHER,SPECIAL_LOGIC,,,,,SELF,"The Pokemon transforms with the weather to change its type to Water, Fire, or Ice.","날씨의 영향을 받아 물타입, 불꽃타입, 얼음타입 중 하나로 변화한다."
60,Sticky Hold,점착,PASSIVE,ITEM_ACTION,ITEM_LOCK_STEAL,,,,SELF,The Pokemon's held items cling to its sticky body and cannot be removed by other Pokemon.,점성이 높은 몸에 도구가 달라붙어 있어 상대에게 도구를 뺏기지 않는다.
61,Shed Skin,탈피,ON_END_TURN,STATUS_HEAL,PRIMARY,0.33,,,SELF,The Pokemon may cure its own status conditions by shedding its skin.,몸의 껍질을 벗어 던져 상태 이상을 회복할 때가 있다.
62,Guts,근성,PASSIVE,STAT_MODIFIER_STATUS,ATTACK,1.5,,,SELF,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,상태 이상이 되면 근성을 보여서 공격이 올라간다.
63,Marvel Scale,이상한비늘,PASSIVE,STAT_MODIFIER_STATUS,DEFENSE,1.5,,,SELF,The Pokemon's marvelous scales boost its Defense stat if it has a status condition.,상태 이상이 되면 이상한 비늘이 반응해서 방어가 올라간다.
64,Liquid Ooze,해감액,ON_DRAIN,DAMAGE,DRAIN_AMOUNT,,,,ATTACKER,The strong stench of the Pokemon's oozed liquid damages attackers that use HP-draining moves.,해감액을 흡수한 상대는 강렬한 악취로 데미지를 받아 HP가 줄어든다.
65,Overgrow,심록,ON_LOW_HP,DAMAGE_MODIFIER,GRASS,1.5,,,SELF,Powers up Grass-type moves when the Pokemon's HP is low.,HP가 줄었을 때 풀타입 기술의 위력이 올라간다.
66,Blaze,맹화,ON_LOW_HP,DAMAGE_MODIFIER,FIRE,1.5,,,SELF,Powers up Fire-type moves when the Pokemon's HP is low.,HP가 줄었을 때 불꽃타입 기술의 위력이 올라간다.
67,Torrent,급류,ON_LOW_HP,DAMAGE_MODIFIER,WATER,1.5,,,SELF,Powers up Water-type moves when the Pokemon's HP is low.,HP가 줄었을 때 물타입 기술의 위력이 올라간다.
68,Swarm,벌레의알림,ON_LOW_HP,DAMAGE_MODIFIER,BUG,1.5,,,SELF,Powers up Bug-type moves when the Pokemon's HP is low.,HP가 줄었을 때 벌레타입 기술의 위력이 올라간다.
69,Rock Head,돌머리,PASSIVE,EFFECT_IMMUNITY,RECOIL,,,,SELF,Protects the Pokemon from recoil damage.,반동을 받는 기술을 사용해도 HP가 줄지 않는다.
70,Drought,가뭄,ON_SWITCH_IN,WEATHER_CHANGE,HARSH_SUNLIGHT,5,,,FIELD,Turns the sunlight harsh when the Pokemon enters a battle.,등장했을 때 날씨를 맑음으로 만든다.
71,Arena Trap,개미지옥,ON_SWITCH_IN,TRAP,GROUNDED,,,,FOE,Prevents opposing Pokemon from fleeing from battle.,배틀에서 상대를 도망칠 수 없게 한다.
72,Vital Spirit,의기양양,PASSIVE,STATUS_IMMUNITY,SLEEP,,,,SELF,"The Pokemon is full of vitality, and that prevents it from falling asleep.",의기양양해져서 잠듦 상태가 되지 않는다.
73,White Smoke,하얀연기,PASSIVE,STAT_MODIFIER_IMMUNITY,ANY_LOWER,,,,SELF,"The Pokemon is protected by its white smoke, which prevents other Pokemon from lowering its stats.",하얀 연기의 보호를 받아 상대가 능력을 떨어뜨리지 못하게 한다.
74,Pure Power,순수한힘,PASSIVE,STAT_MODIFIER,ATTACK,2,,,SELF,"Using its pure power, the Pokemon doubles its Attack stat.",요가의 힘으로 물리공격의 위력이 2배가 된다.
75,Shell Armor,조가비갑옷,PASSIVE,EFFECT_IMMUNITY,CRITICAL_HIT,,,,SELF,A hard shell protects the Pokemon from critical hits.,단단한 껍질의 보호를 받아 상대의 공격이 급소에 맞지 않는다.
76,Air Lock,에어록,ON_SWITCH_IN,FIELD_EFFECT_NEGATE,WEATHER,,,,FIELD,Eliminates the effects of weather.,모든 날씨의 영향이 없어진다.
77,Tangled Feet,갈지자걸음,ON_STATUS,STAT_MODIFIER,EVASION,1.5,,,SELF,Boosts the Pokemon's evasiveness if it is confused.,혼란 상태일 때는 회피율이 올라간다.
78,Motor Drive,전기엔진,ON_HIT_BY_TYPE,SPECIAL_LOGIC,ELECTRIC,,,,SELF,"The Pokemon takes no damage when hit by Electric-type moves. Instead, its Speed stat is boosted.",전기타입의 기술로 공격받으면 데미지를 받지 않고 스피드가 올라간다.
79,Rivalry,투쟁심,PASSIVE,SPECIAL_LOGIC,,,,,SELF,"The Pokemon's competitive spirit makes it deal more damage to Pokemon of the same gender, but less damage to Pokemon of the opposite gender.",성별이 같으면 투쟁심을 불태워 강해진다. 성별이 다르면 약해진다.
80,Steadfast,불굴의마음,ON_FLINCH,STAT_CHANGE,SPEED,1,,,SELF,The Pokemon's determination boosts its Speed stat every time it flinches.,풀죽을 때마다 불굴의 마음을 불태워 스피드가 올라간다.
81,Snow Cloak,눈숨기,ON_WEATHER,STAT_MODIFIER,EVASION,1.25,,,SELF,Boosts the Pokemon's evasiveness in snow.,날씨가 눈일 때 회피율이 올라간다.
82,Gluttony,먹보,PASSIVE,ITEM_ACTION,EARLY_BERRY_EAT,,,,SELF,"If the Pokemon is holding a Berry to be eaten when its HP is low, it will instead eat the Berry when its HP drops to half or less.",HP가 줄어들면 먹을 나무열매를 HP가 절반일 때 먹어 버린다.
83,Anger Point,분노의경혈,ON_CRITICAL_HIT,STAT_CHANGE,ATTACK,12,,,SELF,"The Pokemon is angered when it takes a critical hit, and that maxes its Attack stat.",급소에 공격이 맞으면 크게 분노해 공격력이 최대가 된다.
84,Unburden,곡예,PASSIVE,SPECIAL_LOGIC,,,,,SELF,Boosts the Speed stat if the Pokemon's held item is used or lost.,지니던 도구가 없어지면 스피드가 올라간다.
85,Heatproof,내열,PASSIVE,DAMAGE_MODIFIER_TYPE,FIRE,0.5,,,SELF,The Pokemon's heatproof body halves the damage taken from Fire-type moves.,내열인 몸으로 인해 불꽃타입 공격의 데미지를 반감한다.
86,Simple,단순,PASSIVE,STAT_MODIFIER,STAT_CHANGE_MULTIPLIER,2,,,SELF,Doubles the effects of the Pokemon's stat changes.,능력 변화가 평소의 2배가 된다.
87,Dry Skin,건조피부,SPECIAL_LOGIC,SPECIAL_LOGIC,,,,,SELF,"Restores the Pokemon's HP in rain or when it is hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.",비가 오는 날씨나 물타입의 기술로 공격받으면 HP가 회복되고 맑을 때나 불꽃타입의 기술로 공격받으면 줄어든다.
88,Download,다운로드,ON_SWITCH_IN,SPECIAL_LOGIC,,,,,SELF,The Pokemon compares an opposing Pokemon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat ? whichever will be more effective.,상대의 방어와 특수방어를 비교해서 낮은 쪽 능력에 맞춰서 자신의 공격이나 특수공격을 올린다.
89,Iron Fist,철주먹,PASSIVE,DAMAGE_MODIFIER,PUNCH_MOVES,1.2,,,SELF,Powers up punching moves.,펀치를 사용하는 기술의 위력이 올라간다.
90,Poison Heal,포이즌힐,ON_END_TURN,SPECIAL_LOGIC,,,,,SELF,"If poisoned, the Pokemon has its HP restored instead of taking damage.",독 상태가 되면 HP가 줄지 않고 증가한다.
91,Adaptability,적응력,PASSIVE,DAMAGE_MODIFIER,STAB,2,,,SELF,Powers up moves of the same type as the Pokemon.,자신과 같은 타입인 기술의 위력이 올라간다.
92,Skill Link,스킬링크,PASSIVE,MOVE_MODIFIER,MULTI_HIT_MAX,,,,SELF,Maximizes the number of times multistrike moves hit.,연속 기술을 사용하면 항상 최고 횟수로 사용할 수 있다.
93,Hydration,촉촉바디,ON_WEATHER,STATUS_HEAL,PRIMARY,,,,SELF,Cures the Pokemon's status conditions in rain.,비가 오는 날씨일 때 상태 이상이 회복된다.
94,Solar Power,선파워,ON_WEATHER,SPECIAL_LOGIC,,,,,SELF,"In harsh sunlight, the Pokemon's Sp. Atk stat is boosted, but its HP decreases every turn.",날씨가 맑으면 특수공격이 올라가지만 매 턴 HP가 줄어든다.
95,Quick Feet,속보,PASSIVE,STAT_MODIFIER_STATUS,SPEED,1.5,,,SELF,Boosts the Speed stat if the Pokemon has a status condition.,상태 이상이 되면 스피드가 올라간다.
96,Normalize,노말스킨,PASSIVE,SPECIAL_LOGIC,,,,,SELF,All the Pokemon's moves become Normal type. The power of those moves is boosted a little.,사용하는 기술의 타입이 모두 노말타입이 된다. 위력이 조금 올라간다.
97,Sniper,스나이퍼,PASSIVE,DAMAGE_MODIFIER,CRITICAL_HIT_DAMAGE,1.5,,,SELF,"If the Pokemon's attack lands a critical hit, the attack is powered up even further.",공격을 급소에 맞혔을 때 위력이 더욱 올라간다.
98,Magic Guard,매직가드,PASSIVE,DAMAGE_IMMUNITY,INDIRECT,,,,SELF,The Pokemon only takes damage from attacks.,공격 이외에는 데미지를 받지 않는다.
99,No Guard,노가드,PASSIVE,ACCURACY_MODIFIER,ALL_MOVES,100,,,FIELD,The Pokemon employs no-guard tactics to ensure incoming and outgoing attacks always land.,노가드전법에 따라 서로가 사용하는 기술이 반드시 맞게 된다.
100,Stall,시간벌기,PASSIVE,PRIORITY_MODIFIER,ALWAYS_LAST,,,,SELF,The Pokemon is always the last to use its moves.,기술을 사용하는 순서가 반드시 마지막이 된다.
101,Technician,테크니션,PASSIVE,DAMAGE_MODIFIER,LOW_POWER_MOVES,1.5,,,SELF,Powers up weak moves so the Pokemon can deal more damage with them.,위력이 약한 기술의 위력을 올려서 공격할 수 있다.
102,Leaf Guard,리프가드,ON_WEATHER,STATUS_IMMUNITY,PRIMARY,,,,SELF,Prevents status conditions in harsh sunlight.,날씨가 맑을 때는 상태 이상이 되지 않는다.
103,Klutz,서투름,PASSIVE,ITEM_ACTION,ITEM_LOCK,,,,SELF,The Pokemon can't use any held items.,지니고 있는 도구를 쓸 수 없다.
104,Mold Breaker,틀깨기,PASSIVE,MOVE_MODIFIER,IGNORE_ABILITY,,,,SELF,The Pokemon's moves are unimpeded by the Ability of the target.,상대 특성에 방해받지 않고 상대에게 기술을 쓸 수 있다.
105,Super Luck,대운,PASSIVE,CRITICAL_HIT_MODIFIER,STAGE,1,,,SELF,The Pokemon is so lucky that the critical-hit ratios of its moves are boosted.,대운을 가지고 있어 상대의 급소에 공격이 맞기 쉽다.
106,Aftermath,유폭,ON_FAINT_CONTACT,DAMAGE,MAX_HP_PERCENT,0.25,,,ATTACKER,Damages the attacker if it knocks out the Pokemon with a move that makes direct contact.,기절했을 때 접촉한 상대에게 데미지를 준다.
107,Anticipation,위험예지,ON_SWITCH_IN,SPECIAL_LOGIC,,,,,SELF,The Pokemon can sense an opposing Pokemon's dangerous moves.,상대가 효과가 굉장한 기술이나 일격필살기를 가졌는지 알 수 있다.
108,Forewarn,예지몽,ON_SWITCH_IN,SPECIAL_LOGIC,,,,,SELF,"When it enters a battle, the Pokemon can tell one of the moves an opposing Pokemon has.",등장했을 때 상대가 지닌 기술을 하나만 간파한다.
109,Unaware,천진,PASSIVE,MOVE_MODIFIER,IGNORE_TARGET_STAT_MODS,,,,SELF,"When attacking, the Pokemon ignores the target's stat changes.",상대의 능력 변화를 무시하고 공격할 수 있다.
110,Tinted Lens,색안경,PASSIVE,DAMAGE_MODIFIER,NOT_VERY_EFFECTIVE,2,,,SELF,"The Pokemon can use ""not very effective"" moves to deal regular damage.",효과가 별로인 기술을 통상의 위력으로 쓸 수 있다.
111,Filter,필터,PASSIVE,DAMAGE_MODIFIER,SUPER_EFFECTIVE_TAKEN,0.75,,,SELF,Reduces the power of supereffective attacks that hit the Pokemon.,자신이 받는 효과가 굉장한 공격의 위력을 약하게 만든다.
112,Slow Start,슬로스타트,ON_SWITCH_IN,SPECIAL_LOGIC,,,,,SELF,"For five turns, the Pokemon's Attack and Speed stats are halved.",5턴 동안 공격과 스피드가 절반이 된다.
113,Scrappy,배짱,PASSIVE,TYPE_EFFECTIVENESS,NORMAL_FIGHT_VS_GHOST,,,,SELF,The Pokemon can hit Ghost-type Pokemon with Normal- and Fighting-type moves. It is also unaffected by Intimidate.,노말타입과 격투타입 기술을 고스트타입에게 맞힐 수 있다. 위협을 당해도 동요하지 않는다.
114,Storm Drain,마중물,ON_MOVE_TARGETING,REDIRECT_BOOST,WATER,,,,SELF,"The Pokemon draws in all Water-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted.",물타입의 기술을 자신에게 끌어모아 데미지를 받지 않고 특수공격이 올라간다.
115,Ice Body,아이스바디,ON_WEATHER,HEAL,SNOW,0.0625,,,SELF,The Pokemon gradually regains HP in snow.,날씨가 눈일 때 HP를 조금씩 회복한다.
116,Solid Rock,하드록,PASSIVE,DAMAGE_MODIFIER,SUPER_EFFECTIVE_TAKEN,0.75,,,SELF,Reduces the power of supereffective attacks that hit the Pokemon.,자신이 받는 효과가 굉장한 공격의 위력을 약하게 만든다.
117,Snow Warning,눈퍼뜨리기,ON_SWITCH_IN,WEATHER_CHANGE,SNOW,5,,,FIELD,The Pokemon makes it snow when it enters a battle.,등장했을 때 날씨를 눈으로 만든다.
118,Honey Gather,꿀모으기,ON_END_BATTLE,SPECIAL_LOGIC,,,,,SELF,The Pokemon may gather Honey after a battle.,배틀이 끝났을 때 달콤한꿀을 주울 때가 있다.
119,Frisk,통찰,ON_SWITCH_IN,SPECIAL_LOGIC,,,,,SELF,"When it enters a battle, the Pokemon can check an opposing Pokemon's held item.",등장했을 때 상대의 지닌 물건을 통찰할 수 있다.
120,Reckless,이판사판,PASSIVE,DAMAGE_MODIFIER,RECOIL_MOVES,1.2,,,SELF,Powers up moves that have recoil damage.,반동 데미지를 받는 기술의 위력이 올라간다.
121,Multitype,멀티타입,PASSIVE,SPECIAL_LOGIC,,,,,SELF,Changes the Pokemon's type to match the plate it holds.,지니고 있는 플레이트나 Z크리스탈 타입에 따라 자신의 타입이 바뀐다. 이 특성은 무시할 수 없다.
122,Flower Gift,플라워기프트,ON_WEATHER,SPECIAL_LOGIC,,,,,SELF,Boosts the Attack and Sp. Def stats of the Pokemon and its allies in harsh sunlight.,날씨가 맑을 때 자신과 같은 편의 공격과 특수방어의 능력이 올라간다.
